,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
29,state_drift_bin1,"(50,1e+04]","(50,1e+04]",2716,1425.0,0.5246686303387335,1291.0,0.47533136966126655,0.11506782945736434,0.16625885383129427,-0.3680241583906125,0.06906647992997594
30,state_drift_bin1,,,7075,4894.0,0.6917314487632509,2181.0,0.3082685512367491,0.395187338501292,0.28087572440437863,0.34144761755426706,0.06906647992997594
31,age_yr_bin1,"(0,10]","(0,10]",1871,1135.0,0.606627471940139,736.0,0.39337252805986106,0.09165051679586564,0.09478428847392144,-0.033621049060094,0.06857825896137221
32,age_yr_bin1,"(10,30]","(10,30]",4001,2344.0,0.585853536615846,1657.0,0.41414646338415395,0.1892764857881137,0.21339343206696715,-0.11992872697638046,0.06857825896137221
33,age_yr_bin1,"(30,75]","(30,75]",5774,3348.0,0.5798406650502251,2426.0,0.42015933494977487,0.2703488372093023,0.3124275595621378,-0.14465951814135053,0.06857825896137221
34,age_yr_bin1,"(75,2e+03]","(75,2e+03]",1557,757.0,0.4861913937058446,800.0,0.5138086062941555,0.061127260981912145,0.103026400515132,-0.5220273344771994,0.06857825896137221
35,age_yr_bin1,,,6946,4800.0,0.6910452058738843,2146.0,0.30895479412611576,0.3875968992248062,0.2763683193818416,0.33823141345861774,0.06857825896137221
36,bed_bin,1,1,504,321.0,0.6369047619047619,183.0,0.3630952380952381,0.025920542635658916,0.023567289117836447,0.09517611004187405,0.11466197372084133
37,bed_bin,2,2,2720,1668.0,0.6132352941176471,1052.0,0.38676470588235295,0.13468992248062014,0.13547971667739858,-0.005846670625684044,0.11466197372084133
38,bed_bin,3,3,7306,4226.0,0.5784286887489735,3080.0,0.42157131125102654,0.3412467700258398,0.3966516419832582,-0.15045253803833902,0.11466197372084133
39,bed_bin,4,4,3040,1636.0,0.5381578947368421,1404.0,0.4618421052631579,0.13210594315245477,0.18081133290405665,-0.313849927669785,0.11466197372084133
40,bed_bin,5,5,745,369.0,0.49530201342281877,376.0,0.5046979865771812,0.029796511627906978,0.04842240824211204,-0.4855713595960881,0.11466197372084133
41,bed_bin,6+,6+,357,156.0,0.4369747899159664,201.0,0.5630252100840336,0.012596899224806201,0.025885383129426915,-0.7202277610562596,0.11466197372084133
42,bed_bin,,,5477,4008.0,0.7317874748950155,1469.0,0.2682125251049845,0.3236434108527132,0.18918222794591114,0.5369316063441025,0.11466197372084133
43,bath_bin,3,3,1713,906.0,0.5288966725043783,807.0,0.4711033274956217,0.07315891472868218,0.1039278815196394,-0.3510632224736903,0.1073594423911578
44,bath_bin,4,4,448,208.0,0.4642857142857143,240.0,0.5357142857142857,0.016795865633074936,0.030907920154539602,-0.6098797038873942,0.1073594423911578
45,bath_bin,1_2,1_2,12363,7199.0,0.582302030251557,5164.0,0.4176979697484429,0.5813145994832042,0.6650354153251771,-0.13454820574395096,0.1073594423911578
46,bath_bin,5+,5+,148,63.0,0.42567567567567566,85.0,0.5743243243243243,0.005087209302325582,0.010946555054732776,-0.7662953903455046,0.1073594423911578
47,bath_bin,,,5477,4008.0,0.7317874748950155,1469.0,0.2682125251049845,0.3236434108527132,0.18918222794591114,0.5369316063441025,0.1073594423911578
48,Rural_Urban,Rural,Rural,1848,926.0,0.5010822510822511,922.0,0.4989177489177489,0.07477390180878553,0.11873792659368963,-0.46244984915713533,0.022471460931558735
49,Rural_Urban,Urban,Urban,18301,11458.0,0.6260860062291678,6843.0,0.3739139937708322,0.9252260981912145,0.8812620734063104,0.048683083769304594,0.022471460931558735
50,season1,autumn,autumn,3409,1513.0,0.44382516867116456,1896.0,0.5561748313288354,0.12217377260981913,0.24417256922086283,-0.6924308292733319,0.25840658194883487
51,season1,spring,spring,4643,2650.0,0.5707516691794099,1993.0,0.42924833082059016,0.2139857881136951,0.2566645202833226,-0.18186026147924778,0.25840658194883487
52,season1,summer,summer,8324,6221.0,0.7473570398846708,2103.0,0.25264296011532916,0.5023417312661499,0.27083065035415327,0.6177869085655991,0.25840658194883487
53,season1,winter,winter,3773,2000.0,0.5300821627352239,1773.0,0.46991783726477604,0.16149870801033592,0.2283322601416613,-0.3463047067788464,0.25840658194883487
54,Occupancy_Status,Occupied,Occupied,9699,5140.0,0.5299515413960202,4559.0,0.4700484586039798,0.4150516795865633,0.5871216999356085,-0.3468290820109515,0.11962302783304433
55,Occupancy_Status,Vacant,Vacant,10450,7244.0,0.6932057416267943,3206.0,0.30679425837320573,0.5849483204134367,0.4128783000643915,0.3483706255870847,0.11962302783304433
56,Census_Urban_Rural,Metropolitan,Metropolitan,18301,11458.0,0.6260860062291678,6843.0,0.3739139937708322,0.9252260981912145,0.8812620734063104,0.048683083769304594,0.02348771771438818
57,Census_Urban_Rural,Micropolitan,Micropolitan,1298,672.0,0.5177195685670262,626.0,0.48228043143297383,0.05426356589147287,0.08061815840309079,-0.39587089082366994,0.02348771771438818
